question,answer
What are the listed boom (m) values for the SCC3000A Crawler Crane?,The listed boom (m) values for the SCC3000A Crawler Crane are: 47 and 50.
What are the units for the listed weights for the SCC3000A Crawler Crane?,The units for the listed weights for the SCC3000A Crawler Crane are t (tonnes).
What is the radius of the jib when the main hook of the SCC3000A Crawler Crane is at 13 meters?,The radius of the jib at 13 meters is 138 meters.
What is the boom length when the radius of the jib is 19 meters?,The boom length when the radius of the jib is 19 meters is 53 meters.
What is the radius of the jib when the boom length is 24.5 meters?,The radius of the jib at 24.5 meters is 126 meters.
What is the maximum boom length of the SCC3000A Crawler Crane?,The maximum boom length is 62 meters.
What is the minimum radius of the jib when the boom length is 30.5 meters?,The minimum radius of the jib at 30.5 meters is 125 meters.
What is the maximum radius of the jib with the main hook of the SCC3000A Crawler Crane?,The maximum radius of the jib is 19 meters.
What is the rear counterweight of the SCC3000A Crawler Crane?,The rear counterweight of the SCC3000A Crawler Crane is 112 tons.
What is the carbody counterweight of the SCC3000A Crawler Crane?,The carbody counterweight of the SCC3000A Crawler Crane is 40 tons.
"What is the weight of the hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip that should be deducted from the rated values to get the actual lifting capacity?","The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get the actual lifting capacity."
When are all rated values calculated?,All rated values are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What are the listed jib radii for the crane?,"The jib radii listed for the crane are 13 m, 19 m, 24.5 m, 30.5 m, 36 m, and 42 m."
What are the corresponding jib radius values for the first set of boom lengths?,"The corresponding jib radius values for the first set of boom lengths are 114 m, 112 m, 110 m, 109 m, 107 m, and 105 m."
What are the corresponding jib radius values for the second set of boom lengths?,"The corresponding jib radius values for the second set of boom lengths are 118 m, 116 m, 114 m, 113 m, 111 m, and 109 m."
What are the corresponding jib radius values for the third set of boom lengths?,"The corresponding jib radius values for the third set of boom lengths are 116 m, 114 m, 112 m, 111 m, 109 m, and 107 m."
What are the corresponding jib radius values for the fourth set of boom lengths?,"The corresponding jib radius values for the fourth set of boom lengths are 105 m, 103 m, 101 m, 100 m, 98 m, and 96 m."
What is the shortest jib radius?,The shortest jib radius is 86.7 m.
What is the longest jib radius?,The longest jib radius is 39.4 m.
What are the maximum and minimum boom lengths for the crane?,The maximum boom length is 62 m and the minimum boom length is 29 m.
What is the rear counterweight of the crane?,The rear counterweight of the crane is 112 t.
What is the carbody counterweight of the crane?,The carbody counterweight of the crane is 40 t.
What is the unit of measurement for the rated values in the table?,The unit of measurement for the rated values in the table is t.
What does the first note in the table mean?,"The first note means that the weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get actual lifting capacity."
What does the second note in the table mean?,The second note means that all rated values are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What is the maximum rated capacity of the crane?,The maximum rated capacity of the crane is 60 t.
What are the corresponding boom lengths for the maximum rated capacity?,The corresponding boom lengths for the maximum rated capacity are 60 m and 54 m.
What is the minimum rated capacity of the crane?,The minimum rated capacity of the crane is 1.85 t.
What are the corresponding boom lengths for the minimum rated capacity?,The corresponding boom lengths for the minimum rated capacity are 11.7 m and 9.7 m.
What is the maximum rated capacity with a jib radius of 30.5 m?,The maximum rated capacity with a jib radius of 30.5 m is 40 t for a boom length of 30 m.
What is the model of the crawler crane?,SCC3000A
What is the boom length of the crawler crane?,The boom length is 26m.
What is the boom angle of the crawler crane?,The boom angle is 65°.
What is the range of the jib length?,The jib length is between 21m and 63m.
What is the weight of the rear counterweight?,The rear counterweight is 112t.
What is the weight of the carbody counterweight?,The carbody counterweight is 40t.
What is the radius of the jib when it is 21m long?,The radius of the jib when it is 21m long is 28m.
What is the radius of the jib when it is 30m long and the boom angle is 65°?,The radius of the jib when it is 30m long and the boom angle is 65° is 38.9m.
What is the radius of the jib when it is 36m long and the boom angle is 65°?,The radius of the jib when it is 36m long and the boom angle is 65° is 30.4m.
What is the radius of the jib when it is 44m long and the boom angle is 65°?,The radius of the jib when it is 44m long and the boom angle is 65° is 23m.
What is the radius of the jib when it is 60m long and the boom angle is 65°?,The radius of the jib when it is 60m long and the boom angle is 65° is 13.2m.
What is the radius of the jib when it is 68m long and the boom angle is 65°?,The radius of the jib when it is 68m long and the boom angle is 65° is 10.3m.
What is the radius of the jib when it is 72m long and the boom angle is 65°?,The radius of the jib when it is 72m long and the boom angle is 65° is 8.7m.
What is the model of the crawler crane?,SCC3000A
How long is the maximum boom length?,The maximum boom length is 29m.
What is the angle of the boom?,The boom angle is 65°.
What is the range of the jib length?,The jib length is between 21m and 63m.
What is the weight of the rear counterweight?,The weight of the rear counterweight is 112t.
What is the weight of the carbody counterweight?,The weight of the carbody counterweight is 40t.
What is the radius of the jib when the boom length is 30m and the jib length is 21m?,The radius of the jib is 38.2m.
What is the radius of the jib when the boom length is 32m and the jib length is 27m?,The radius of the jib is 32.6m.
What is the radius of the jib when the boom length is 36m and the jib length is 30m?,The radius of the jib is 29.2m.
What is the radius of the jib when the boom length is 40m and the jib length is 38m?,The radius of the jib is 24.9m.
What is the radius of the jib when the boom length is 48m and the jib length is 44m?,The radius of the jib is 18.2m.
What is the radius of the jib when the boom length is 52m and the jib length is 51m?,The radius of the jib is 15.6m.
What is the radius of the jib when the boom length is 60m and the jib length is 57m?,The radius of the jib is 13.3m.
What is the radius of the jib when the boom length is 64m and the jib length is 63m?,The radius of the jib is 10.5m.
What is the radius of the jib when the boom length is 72m and the jib length is 68m?,The radius of the jib is 8.4m.
What is the radius of the jib when the boom length is 74m and the jib length is 72m?,The radius of the jib is 7.4m.
What is the model of the crawler crane in the text?,SCC3000A Crawler Crane
What is the maximum length of the boom of this crane?,The maximum length of the boom is 32m.
What is the angle of the boom when it is at its maximum length?,The boom angle is 65 degrees.
What is the range of the jib's length?,The jib's length ranges from 21m to 63m.
What is the weight of the rear counterweight?,The rear counterweight weighs 112t.
What is the weight of the carbody counterweight?,The carbody counterweight weighs 40t.
"What is the radius of the jib when it is 21m long, and the boom is at 30 degrees?",The radius of the jib is 37.4m.
"What is the radius of the jib when it is 32m long, and the boom is at 34.2 degrees?",The radius of the jib is 34.2m.
"What is the radius of the jib when it is 34m long, and the boom is at 31.7 degrees?",The radius of the jib is 31.7m.
"What is the radius of the jib when it is 40m long, and the boom is at 24.6 degrees?",The radius of the jib is 24.6m.
"What is the radius of the jib when it is 44m long, and the boom is at 21.1 degrees?",The radius of the jib is 21.1m.
"What is the radius of the jib when it is 52m long, and the boom is at 15.4 degrees?",The radius of the jib is 15.4m.
"What is the radius of the jib when it is 56m long, and the boom is at 14 degrees?",The radius of the jib is 14.6m.
"What is the radius of the jib when it is 60m long, and the boom is at 12.3 degrees?",The radius of the jib is 12.3m.
"What is the radius of the jib when it is 64m long, and the boom is at 10.4 degrees?",The radius of the jib is 10.4m.
"What is the radius of the jib when it is 72m long, and the boom is at 8 degrees?",The radius of the jib is 8.3m.
"What is the radius of the jib when it is 76m long, and the boom is at 7 degrees?",The radius of the jib is 7.1m.
What is the model of the crawler crane?,SCC3000A
What is the maximum length of the boom?,The boom is 35m long.
What is the angle of the boom?,The boom angle is 65°.
What is the range of the jib?,The jib ranges from 21m to 63m.
What is the weight of the rear counterweight?,The rear counterweight is 112t.
What is the weight of the carbody counterweight?,The carbody counterweight is 40t.
What is the radius of the jib when it is at 21m?,The radius of the jib at 21m is 32m.
What is the radius of the jib when it is at 24m?,The radius of the jib at 24m is 33.8m.
What is the radius of the jib when it is at 27m?,The radius of the jib at 27m is 31.3m.
What is the radius of the jib when it is at 30m?,The radius of the jib at 30m is 31m.
What is the radius of the jib when it is at 33m?,The radius of the jib at 33m is 29.1m.
What is the radius of the jib when it is at 36m?,The radius of the jib at 36m is 28.8m.
What is the radius of the jib when it is at 39m?,The radius of the jib at 39m is 28.4m.
What is the radius of the jib when it is at 42m?,The radius of the jib at 42m is 26.9m.
What is the radius of the jib when it is at 45m?,The radius of the jib at 45m is 26.5m.
What is the radius of the jib when it is at 48m?,The radius of the jib at 48m is 26.4m.
What is the radius of the jib when it is at 51m?,The radius of the jib at 51m is 26m.
What is the radius of the jib when it is at 54m?,The radius of the jib at 54m is 24.8m.
What is the radius of the jib when it is at 57m?,The radius of the jib at 57m is 24.7m.
What is the radius of the jib when it is at 60m?,The radius of the jib at 60m is 24.3m.
What is the radius of the jib when it is at 63m?,The radius of the jib at 63m is 24m.
What is the radius of the jib when it is at 64m?,The radius of the jib at 64m is 21.7m.
What is the radius of the jib when it is at 68m?,The radius of the jib at 68m is 9.5m.
What is the radius of the jib when it is at 72m?,The radius of the jib at 72m is 8.2m.
What is the radius of the jib when it is at 76m?,The radius of the jib at 76m is 6.7m.
What is the radius of the jib when it is at 78m?,The radius of the jib at 78m is 6.3m.
What is the maximum boom length of the SCC3000A Crawler Crane?,The maximum boom length of the SCC3000A Crawler Crane is 38m.
What is the range of the jib length of the SCC3000A Crawler Crane?,The jib length of the SCC3000A Crawler Crane can be adjusted from 21m to 63m.
What is the weight of the rear counterweight of the SCC3000A Crawler Crane?,The rear counterweight of the SCC3000A Crawler Crane is 112t.
What is the weight of the carbody counterweight of the SCC3000A Crawler Crane?,The carbody counterweight of the SCC3000A Crawler Crane is 40t.
What is the radius of the jib when it is at 21m and the boom is at 38m?,The radius of the jib when it is at 21m and the boom is at 38m is 25.6m.
What is the radius of the jib when it is at 63m and the boom is at 38m?,The radius of the jib when it is at 63m and the boom is at 38m is 12.1m.
What is the radius of the jib when it is at 44m and the boom is at 21m?,The radius of the jib when it is at 44m and the boom is at 21m is 20.1m.
What is the radius of the jib when it is at 21m and the boom is at 36m?,The radius of the jib when it is at 21m and the boom is at 36m is 32m.
What is the radius of the jib when it is at 60m and the boom is at 38m?,The radius of the jib when it is at 60m and the boom is at 38m is 10.3m.
What is the radius of the jib when it is at 56m and the boom is at 21m?,The radius of the jib when it is at 56m and the boom is at 21m is 14.1m.
What is the model of the crawler crane in the text?,SCC3000A Crawler Crane
What is the boom length of the crane?,The boom length of the crane is 41m.
What is the boom angle of the crane?,The boom angle of the crane is 65°.
What is the range of the jib length?,The jib length of the crane is between 21m and 63m.
What is the weight of the rear counterweight?,The weight of the rear counterweight is 112t.
What is the weight of the carbody counterweight?,The weight of the carbody counterweight is 40t.
What is the radius of the jib when it is at 21m length and what is the corresponding radius of the crane?,"When the jib length is 21m, the radius of the jib is 34m and the radius of the crane is 29.7m."
What is the radius of the jib when it is at 63m length and what is the corresponding radius of the crane?,"When the jib length is 63m, the radius of the jib is 63m and the radius of the crane is not given in the table."
What is the radius of the crane when the jib is at 36m length and what is the corresponding radius of the jib?,"When the jib length is 36m, the radius of the crane is 27.4m and the radius of the jib is not given in the table."
What is the crane radius for a jib length of 48m?,"For a jib length of 48m, the crane radius is 17.9m, 17.6m, 17.2m, 17m, 16.6m."
What is the model of the crawler crane?,The model of the crawler crane is SCC3000A.
How long is the boom of the crane?,The boom of the crane is 44m long.
What is the boom angle of the crane?,The boom angle of the crane is 65 degrees.
What is the range of the jib length?,The jib length of the crane is between 21m and 63m.
What is the rear counterweight of the crane?,The rear counterweight of the crane is 112t.
What is the carbody counterweight of the crane?,The carbody counterweight of the crane is 40t.
What is the radius of the crane when the jib length is 21m and the boom angle is 65 degrees?,The radius of the crane is 26.8m.
What is the radius of the crane when the jib length is 38m and the boom angle is 65 degrees?,The radius of the crane is 24.7m.
What is the radius of the crane when the jib length is 40m and the boom angle is 65 degrees?,The radius of the crane is 22.5m.
What is the radius of the crane when the jib length is 44m and the boom angle is 65 degrees?,The radius of the crane is 19.1m.
What is the radius of the crane when the jib length is 48m and the boom angle is 65 degrees?,The radius of the crane is 16.3m.
What is the radius of the crane when the jib length is 52m and the boom angle is 65 degrees?,The radius of the crane is 14.1m.
What is the radius of the crane when the jib length is 56m and the boom angle is 65 degrees?,The radius of the crane is 12.6m.
What is the radius of the crane when the jib length is 60m and the boom angle is 65 degrees?,The radius of the crane is 11.6m.
What is the radius of the crane when the jib length is 64m and the boom angle is 65 degrees?,The radius of the crane is 9.4m.
What is the radius of the crane when the jib length is 68m and the boom angle is 65 degrees?,The radius of the crane is 8.2m.
What is the radius of the crane when the jib length is 72m and the boom angle is 65 degrees?,The radius of the crane is 6.9m.
What is the radius of the crane when the jib length is 76m and the boom angle is 65 degrees?,The radius of the crane is 5.5m.
What is the radius of the crane when the jib length is 80m and the boom angle is 65 degrees?,The radius of the crane is 4.8m.
What is the model of the crawler crane?,SCC3000A Crawler Crane
What is the maximum length of the boom?,The boom is 47m long.
What is the maximum angle of the boom?,The boom angle is 65°.
What is the range of the jib?,The jib ranges from 21m to 63m.
What is the weight of the rear counterweight?,The rear counterweight is 112t.
What is the weight of the carbody counterweight?,The carbody counterweight is 40t.
What is the radius of the jib when it is at 21m?,The radius is 26.1m.
What is the radius of the jib when it is at 38m?,The radius is 24.4m.
What is the radius of the jib when it is at 40m?,The radius is 22.8m.
What is the radius of the jib when it is at 44m?,The radius is 19.8m.
What is the radius of the jib when it is at 48m?,The radius is 17.2m.
What is the radius of the jib when it is at 52m?,The radius is 14.8m.
What is the radius of the jib when it is at 56m?,The radius is 13m.
What is the radius of the jib when it is at 60m?,The radius is 11.3m.
What is the radius of the jib when it is at 64m?,The radius is 9.6m.
What is the radius of the jib when it is at 68m?,The radius is 8.3m.
What is the radius of the jib when it is at 72m?,The radius is 6.9m.
What is the radius of the jib when it is at 76m?,The radius is 5.8m.
What is the radius of the jib when it is at 80m?,The radius is 4.8m.
What is the radius of the jib when it is at 82m?,The radius is 4.1m.
What is the maximum boom length of the SCC3000A Crawler Crane?,The maximum boom length of the SCC3000A Crawler Crane is 50m.
What is the minimum jib length of the SCC3000A Crawler Crane?,The minimum jib length of the SCC3000A Crawler Crane is 21m.
What is the maximum jib length of the SCC3000A Crawler Crane?,The maximum jib length of the SCC3000A Crawler Crane is 63m.
What is the weight of the rear counterweight of the SCC3000A Crawler Crane?,The weight of the rear counterweight of the SCC3000A Crawler Crane is 112t.
What is the weight of the carbody counterweight of the SCC3000A Crawler Crane?,The weight of the carbody counterweight of the SCC3000A Crawler Crane is 40t.
What is the radius (jib 21m) of the SCC3000A Crawler Crane?,The radius (jib 21m) of the SCC3000A Crawler Crane is 38m.
What is the radius (jib 63m) of the SCC3000A Crawler Crane?,The radius (jib 63m) of the SCC3000A Crawler Crane is 63m.
What is the radius at jib length of 24m for the SCC3000A Crawler Crane?,The radius at jib length of 24m for the SCC3000A Crawler Crane is 38m.
What is the radius at jib length of 40m for the SCC3000A Crawler Crane?,The radius at jib length of 40m for the SCC3000A Crawler Crane is 40m.
What is the radius at jib length of 52m for the SCC3000A Crawler Crane?,The radius at jib length of 52m for the SCC3000A Crawler Crane is 52m.
What is the radius at jib length of 60m for the SCC3000A Crawler Crane?,The radius at jib length of 60m for the SCC3000A Crawler Crane is 60m.
What is the radius at jib length of 64m for the SCC3000A Crawler Crane?,The radius at jib length of 64m for the SCC3000A Crawler Crane is 64m.
What is the radius at jib length of 72m for the SCC3000A Crawler Crane?,The radius at jib length of 72m for the SCC3000A Crawler Crane is 72m.
What is the radius at jib length of 80m for the SCC3000A Crawler Crane?,The radius at jib length of 80m for the SCC3000A Crawler Crane is 80m.
What is the radius at jib length of 84m for the SCC3000A Crawler Crane?,The radius at jib length of 84m for the SCC3000A Crawler Crane is 84m.
What is the radius at jib length of 27m for the SCC3000A Crawler Crane?,The radius at jib length of 27m for the SCC3000A Crawler Crane is 38m.
What is the radius at jib length of 30m for the SCC3000A Crawler Crane?,The radius at jib length of 30m for the SCC3000A Crawler Crane is 38m.
What is the radius at jib length of 33m for the SCC3000A Crawler Crane?,The radius at jib length of 33m for the SCC3000A Crawler Crane is 38m.
What is the radius at jib length of 36m for the SCC3000A Crawler Crane?,The radius at jib length of 36m for the SCC3000A Crawler Crane is 38m.
What is the radius at jib length of 39m for the SCC3000A Crawler Crane?,The radius at jib length of 39m for the SCC3000A Crawler Crane is 38m.
What is the radius at jib length of 42m for the SCC3000A Crawler Crane?,The radius at jib length of 42m for
What is the maximum boom length of the SCC3000A Crawler Crane?,The maximum boom length of the SCC3000A Crawler Crane is 53m.
What is the minimum jib length of the SCC3000A Crawler Crane?,The minimum jib length of the SCC3000A Crawler Crane is 21m.
What is the maximum jib length of the SCC3000A Crawler Crane?,The maximum jib length of the SCC3000A Crawler Crane is 63m.
What is the weight of the rear counterweight of the SCC3000A Crawler Crane?,The weight of the rear counterweight of the SCC3000A Crawler Crane is 112t.
What is the weight of the carbody counterweight of the SCC3000A Crawler Crane?,The weight of the carbody counterweight of the SCC3000A Crawler Crane is 40t.
What is the radius of the jib when it is 21m long and the boom angle is 65 degrees?,The radius of the jib when it is 21m long and the boom angle is 65 degrees is 21.2m.
What is the radius of the jib when it is 44m long and the boom angle is 65 degrees?,The radius of the jib when it is 44m long and the boom angle is 65 degrees is 18.7m.
What is the radius of the jib when it is 56m long and the boom angle is 65 degrees?,The radius of the jib when it is 56m long and the boom angle is 65 degrees is 11.9m.
What is the radius of the jib when it is 68m long and the boom angle is 65 degrees?,The radius of the jib when it is 68m long and the boom angle is 65 degrees is 7.6m.
What is the radius of the jib when it is 80m long and the boom angle is 65 degrees?,The radius of the jib when it is 80m long and the boom angle is 65 degrees is 3.9m.
What is the radius of the jib when it is 60m long and the boom angle is 65 degrees?,The radius of the jib when it is 60m long and the boom angle is 65 degrees is 9.6m.
What is the radius of the jib when it is 44m long and the boom angle is 65 degrees and the jib length is 24m?,"The radius of the jib when it is 44m long, the boom angle is 65 degrees, and the jib length is 24m is 18.4m."
What is the radius of the jib when it is 52m long and the boom angle is 65 degrees and the jib length is 57m?,"The radius of the jib when it is 52m long, the boom angle is 65 degrees, and the jib length is 57m is 11.5m."
What is the radius of the jib when it is 56m long and the boom angle is 65 degrees and the jib length is 30m?,"The radius of the jib when it is 56m long, the boom angle is 65 degrees, and the jib length is 30m is 12.7m."
What is the radius of the jib when it is 64m long and the boom angle is 65 degrees and the jib length is 42m?,"The radius of the jib when it is 64m long, the boom angle is 65 degrees, and the jib length is 42m is 8.6m."
What is the radius of the jib when it is 68m long and the boom angle is 65 degrees and the jib length is 51m?,"The radius of the jib when it is 68m long, the boom angle is 65 degrees, and the jib length is 51m is 5.5m."
What is the radius of the jib when it is 76m long and the boom angle is 65 degrees and the jib length is 36m?,"The radius of the jib when it is 76m long, the boom angle is 65 degrees, and the jib length is 36m is 4.9m."
How many different jib lengths does the crane have?,"The crane has 13 different jib lengths, ranging from 21m to 63m in 3m intervals."
"What is the maximum radius the jib can reach, ignoring the boom length and the boom angle?","The maximum radius the jib can reach, ignoring the boom length and the boom angle, is 68m (when the jib is fully extended)"
"What is the minimum radius the jib can reach, ignoring the boom length and the boom angle?","The minimum radius the jib can reach, ignoring the boom length and the boom angle, is 40m (when the jib is at its shortest length)"
What is the largest counterweight?,The largest counterweight is the rear counterweight with 112t.
What is the total of all counterweights?,"The total of all counterweights is 152t (112t for the rear counterweight, 40t for the carbody counterweight)"
What is the model of the crawler crane?,The model of the crawler crane is SCC3000A.
What is the maximum length of the boom?,The maximum length of the boom is 56m.
What is the range of the jib's length?,The jib's length ranges from 21m to 63m.
What is the weight of the rear counterweight?,The weight of the rear counterweight is 112t.
What is the weight of the carbody counterweight?,The weight of the carbody counterweight is 40t.
What is the radius of the jib when it is at 21m and the total radius is 40m?,The radius of the jib is 20.4m in this case.
What is the radius of the jib when it is at 63m and the total radius is 60m?,The radius of the jib is 7.9m in this case.
What is the radius of the jib when it is at 44m and the total radius is 52m?,The radius of the jib is 13.4m in this case.
What is the radius of the jib when it is at 52m and the total radius is 68m?,The radius of the jib is 4.7m in this case.
What is the radius of the jib when it is at 27m and the total radius is 48m?,The radius of the jib is 15m in this case.
What is the radius of the jib when it is at 56m and the total radius is 80m?,The radius of the jib is 3.4m in this case.
What is the radius of the jib when it is at 64m and the total radius is 84m?,The radius of the jib is 2.4m in this case.
What is the radius of the jib when it is at 86m and the total radius is 86m?,The radius of the jib is 2.1m in this case.
What is the maximum boom length of the SCC3000A Crawler Crane?,The maximum boom length of the SCC3000A Crawler Crane is 59m.
What is the minimum jib length of the SCC3000A Crawler Crane?,The minimum jib length of the SCC3000A Crawler Crane is 21m.
What is the maximum rear counterweight of the SCC3000A Crawler Crane?,The maximum rear counterweight of the SCC3000A Crawler Crane is 112t.
What is the carbody counterweight of the SCC3000A Crawler Crane?,The carbody counterweight of the SCC3000A Crawler Crane is 40t.
What is the radius (m) when the jib length is 21m and the boom angle is 65°?,The radius is 17.3m.
What is the radius (m) when the jib length is 24m and the boom angle is 65°?,The radius is 16.9m.
What is the radius (m) when the jib length is 52m and the boom angle is 65°?,"The radius is 12.9m, 12.8m and 12.3m."
What is the radius (m) when the jib length is 56m and the boom angle is 65°?,"The radius is 11.4m, 11m, 10.7m, 10.3m and 10m."
What is the radius (m) when the jib length is 60m and the boom angle is 65°?,"The radius is 9.5m, 9.1m, 8.9m, 8.5m and 8.1m."
What is the radius (m) when the jib length is 64m and the boom angle is 65°?,"The radius is 8.1m, 7.9m, 7.5m, 7.2m, 6.7m and 6.4m."
What is the radius (m) when the jib length is 68m and the boom angle is 65°?,"The radius is 7m, 6.7m, 6.3m, 5.9m, 5.6m, 5.1m, 4.7m and 4.1m."
What is the radius (m) when the jib length is 72m and the boom angle is 65°?,"The radius is 5.6m, 5.2m, 4.9m, 4.4m, 4m and 3.5m."
What is the radius (m) when the jib length is 76m and the boom angle is 65°?,"The radius is 4.5m, 4.3m and 3.8m."
What is the radius (m) when the jib length is 80m and the boom angle is 65°?,"The radius is 3.2m, 2.8m and 2.4m."
What is the radius (m) when the jib length is 84m and the boom angle is 65°?,The radius is 2.3m and 1.9m.
What is the radius (m) when the jib length is 88m and the boom angle is 65°?,The radius is 1.4m.
What is the model of the crawler crane?,The model of the crawler crane is SCC3000A.
What is the boom length of the crawler crane?,The boom length of the crawler crane is 62m.
What is the maximum jib length of the crawler crane?,The maximum jib length of the crawler crane is 63m.
What is the weight of the rear counterweight of the crawler crane?,The weight of the rear counterweight of the crawler crane is 112t.
What is the weight of the carbody counterweight of the crawler crane?,The weight of the carbody counterweight of the crawler crane is 40t.
What is the radius of the jib when it is 21m long and the radius of the circle it forms?,The radius of the jib when it is 21m long is 44m and the radius of the circle it forms is 16.4m.
What is the radius of the jib when it is 48m long and the radius of the circle it forms at two different angles?,The radius of the jib when it is 48m long is 48m and the radius of the circle it forms at 14.5 degrees is 14.5m and at 14.2 degrees is 14.2m.
What is the radius of the jib when it is 52m long and the radius of the circle it forms at three different angles?,"The radius of the jib when it is 52m long is 52m and the radius of the circle it forms at 12.2 degrees is 12.2m, at 12.1 degrees is 12.1m, and at 11.6 degrees is 11.6m."
What is the radius of the jib when it is 56m long and the radius of the circle it forms at four different angles?,"The radius of the jib when it is 56m long is 56m and the radius of the circle it forms at 10.7 degrees is 10.7m, at 10.3 degrees is 10.3m, at 10 degrees is 10m, and at 9.6 degrees is 9.6m."
What is the radius of the jib when it is 60m long and the radius of the circle it forms at five different angles?,"The radius of the jib when it is 60m long is 60m and the radius of the circle it forms at 9.2 degrees is 9.2m, at 8.9 degrees is 8.9m, at 8.5 degrees is 8.5m, at 8.3 degrees is 8.3m, and at 7.7 degrees is 7.7m."
What is the radius of the jib when it is 64m long and the radius of the circle it forms at six different angles?,"The radius of the jib when it is 64m long is 64m and the radius of the circle it forms at 7.5 degrees is 7.5m, at 7.3 degrees is 7.3m, at 6.9 degrees is 6.9m, at 6.4 degrees is 6.4m, at 5.9 degrees is 5.9m, and at 5.6 degrees is 5.6m."
What is the radius of the jib when it is 68m long and the radius of the circle it forms at seven different angles?,"The radius of the jib when it is 68m long is 68m and the radius of the circle it forms at 6.5 degrees is 6.5m, at 6.1 degrees is 6.1m, at 5.7 degrees is 5.7m, at 5.2 degrees is 5.2m, at 4.8 degrees is 4.8m, at 4.3 degrees is 4.3m, and at 3.9 degrees is 3.9m."
What is the radius of the jib when it is 72m long and the radius of the circle it forms at six different angles?,"The radius of the jib when it is 72m long is 72m and the radius of the circle it forms at 5.3 degrees is 5.3m, at 5 degrees is 5m, at 4.5 degrees is 4.5m, at 4.2 degrees is 4.2m, at 3.7 degrees is 3.7m, and at 3.3 degrees is 3.3m."
What is the radius of the jib when it is 76m long and the radius of the circle it forms at five different angles?,"The radius of the jib when it is 76m long is 76m and the radius of the circle it forms at 3.9 degrees is 3.9m, at 3.6 degrees is 3.6m, at 3.1 degrees is 3.1m, at 2.7 degrees is 2.7m, and at 2.2 degrees is 2.2m."
What is the radius of the jib when it is 80m long and the radius of the circle it forms at three different angles?,"The radius of the jib when it is 80m long is 80m and the radius of the circle it forms at 3.1 degrees is 3.1m, at 2.6 degrees is 2.6m, and at 2.2 degrees is 2.2m."
What is the radius of the circle formed by the jib when it is 84m long at two different angles?,The radius of the circle formed by the jib when it is 84m long is 84m and the radius of the circle it forms at 1.7 degrees is 1.7m and at 1.2 degrees is 1.2m.
What is the maximum boom length of the SCC3000A Crawler Crane?,The maximum boom length of the SCC3000A Crawler Crane is 26m.
What is the minimum jib length of the SCC3000A Crawler Crane?,The minimum jib length of the SCC3000A Crawler Crane is 21m.
What is the maximum jib length of the SCC3000A Crawler Crane?,The maximum jib length of the SCC3000A Crawler Crane is 63m.
What is the rear counterweight of the SCC3000A Crawler Crane?,The rear counterweight of the SCC3000A Crawler Crane is 112t.
What is the carbody counterweight of the SCC3000A Crawler Crane?,The carbody counterweight of the SCC3000A Crawler Crane is 40t.
What is the radius of the jib when the boom is at 26m and jib is at 48.5m?,The radius of the jib when the boom is at 26m and jib is at 48.5m is 26m.
What is the radius of the jib when the boom is at 24m and jib is at 44.5m?,The radius of the jib when the boom is at 24m and jib is at 44.5m is 24m.
What is the radius of the jib when the boom is at 22m and jib is at 40.5m?,The radius of the jib when the boom is at 22m and jib is at 40.5m is 22m.
What is the radius of the jib when the boom is at 20m and jib is at 68.9m?,The radius of the jib when the boom is at 20m and jib is at 68.9m is 20m.
What is the radius of the jib when the boom is at 28m and jib is at 39.6m?,The radius of the jib when the boom is at 28m and jib is at 39.6m is 28m.
What is the model of the crawler crane?,The model of the crawler crane is SCC3000A.
What is the maximum length of the boom?,The maximum length of the boom is 29m.
What is the range of the jib length?,The jib length ranges from 21m to 63m.
What is the weight of the rear counterweight?,The weight of the rear counterweight is 112t.
What is the weight of the carbody counterweight?,The weight of the carbody counterweight is 40t.
At what boom angle is the information provided?,The boom angle is 75°.
What is the radius of the jib when its length is 21m and the boom length is 29m?,The radius of the jib is approximately 60.5m.
What is the radius of the jib when its length is 24m and the boom length is 29m?,The radius of the jib is approximately 54.2m.
What is the radius of the jib when its length is 26m and the boom length is 29m?,The radius of the jib is approximately 48.8m.
What is the radius of the jib when its length is 28m and the boom length is 29m?,The radius of the jib is approximately 44.5m.
What is the radius of the jib when its length is 30m and the boom length is 29m?,The radius of the jib is approximately 40.8m.
What is the radius of the jib when its length is 32m and the boom length is 29m?,The radius of the jib is approximately 37.4m.
What is the radius of the jib when its length is 34m and the boom length is 29m?,The radius of the jib is approximately 34.5m.
What is the radius of the jib when its length is 36m and the boom length is 29m?,The radius of the jib is approximately 32.1m.
What is the radius of the jib when its length is 38m and the boom length is 29m?,The radius of the jib is approximately 29.7m.
What is the radius of the jib when its length is 40m and the boom length is 29m?,The radius of the jib is approximately 27.5m.
What is the radius of the jib when its length is 44m and the boom length is 29m?,The radius of the jib is approximately 24m.
What is the radius of the jib when its length is 48m and the boom length is 29m?,The radius of the jib is approximately 21.1m.
What is the radius of the jib when its length is 52m and the boom length is 29m?,The radius of the jib is approximately 18.4m.
What is the radius of the jib when its length is 60m and the boom length is 29m?,The radius of the jib is approximately 14.4m.
