question,answer
Why are the model and serial numbers needed by a SANY dealer?, Routine maintenance procedures and fluid specifications are detailed in the Maintenance section.
Where is the machine identification plate located on the wheel loader?,"The Specifications section lists general dimensions and weight of the machine, as well as performance information for systems and components."
Where is the engine identification plate located on the wheel loader?, The SW405K is primarily used for transferring and loading material.
Where is the transmission identification plate located on the wheel loader?," Besides loading and transferring material, it can be used for digging, leveling, carrying heavy loads, and removing ice and snow."
Where is the axle identification plate located on the wheel loader?,"Yes, it can be adapted with optional equipment such as forks, scrapers, or different bucket types."
Where is the machine identification plate located?,SANY assumes no responsibility for any consequences caused by using the SW405K outside its specified range.
Where is the engine identification plate located?, These directions indicate the moving direction when viewed from the operator seat.
Where is the transmission identification plate located?,The product identification plates are located in various places on the wheel loader.
Where is the axle identification plate located?,The product identification plates list model and serial numbers.
What information is listed on the identification plates?,The model and serial numbers are needed by a SANY dealer when ordering replacement parts or providing assistance with the machine.
Why are the serial numbers needed?,The machine identification plate is located on the front left of the frame.
What is the address of SANY?,The engine identification plate is located on the lower left side of the engine.
What is the phone number of SANY?,The transmission identification plate is located on the front left of the transmission.
Where can I find a dealer for SANY products?,The axle identification plate is located on the front left of the axle housing.
What is the purpose of the table in the text?,On the front left of the frame.
What information should be recorded in the table?,On the lower left side of the engine.
What is the website of SANY America?,On the front left of the transmission.
What should you do if you find a problem with the manual?,On the front left of the axle housing.
What is the name of the form to be completed?,Model and serial numbers.
What information should be provided in the Correction Request Form?,When ordering replacement parts or providing assistance with the machine.
Who should the completed form be sent to?,"318 Cooper Circle, Peachtree City, GA 30269"
What type of problem should be reported in the Description of Problem section?,470-552-SANY (7269)
Is it necessary to provide information about any corrective action taken?,www.sanyamerica.com/find-a-dealer
What is the purpose of the Correction Request Form?,To record the product information related to this machine.
What is the purpose of this form?,"Machine Serial No., Engine Serial No., Front Axle Serial No., Rear Axle Serial No., Transmission Serial No., Hydraulic Pump Serial No., Dealer Name, Address, and Phone Numbers."
Who should complete this form?,www.sanyamerica.com
What should be done with the completed form?,SANY
What information is required on the form?,"318 Cooper Circle, Peachtree City, GA 30269"
What type of problems can be reported using this form?,www.sanyamerica.com/find-a-dealer
What should the description of the problem include?,470-552-SANY (7269)
 Is it necessary to take corrective action before submitting the form?,"To record the product information related to the machine, such as serial numbers and dealer information."
What does ANSI stand for?,The name of the dealer who sold you the machine.
What does CCTV stand for?,"Make a copy of this page, complete the form below, and send it to SANY."
What does DEF stand for?,Correction Request Form
What does DPF stand for?,"Date of This Notification, Your Name, Company Name, Department, Street Address, City, State, and ZIP/Postal Code, Phone, E-mail, Machine Model and Serial No., Description of Problem, and Corrective Action Taken (if any)."
What does DVR stand for?,SANY.
What does EAT stand for?,"Wrong information, unclear or erroneous procedure, etc."
What does ECM stand for?,"Yes, if any."
What does GPS stand for?,To report problems with the manual.
What does HEST stand for?,To report problems found in the 1-7 SW405K Wheel Loader OMM.
What does ISO stand for?,Anyone who finds a problem with the manual.
What does KD stand for?," Make a copy of this page, complete the form below, and send it to SANY."
What does LCD stand for?,"Date of This Notification, Your Name, Company Name, Department, Street Address, City, State, and ZIP/Postal Code, Phone, E-mail, Machine Model and Serial No., Description of Problem, and Corrective Action Taken (if any)."
What does OEM stand for?,"Wrong information, unclear or erroneous procedure."
What does OSHA stand for?,Details about the specific issue found in the manual.
What does PPE stand for?,"No, the form asks for corrective action taken if any, implying it's optional."
What does PQR stand for?,American National Standards Institute
What does ROPS stand for?,Closed-Circuit Television
What does SAE stand for?,Diesel Exhaust Fluid
What does SCA stand for?,Diesel Particulate Filter
What does SCR stand for?,Digital Video Recorder
What does SDS stand for?,Exhaust After Treatment
What does WPS stand for?,Engine Control Module
What does ANSI stand for?,Global Positioning System
What does CCTV stand for?,High Exhaust System Temperatures
What does DEF stand for?,International Organization for Standardization
What does DPF stand for?,Kickdown
What does DVR stand for?,Liquid Crystal Display
What does EAT stand for?,Original Equipment Manufacturer
What does ECM stand for?,Occupational Safety and Health Administration
What does GPS stand for?,Personal Protective Equipment
What does HEST stand for?,Procedure Qualification Report
What does ISO stand for?,Rollover Protective Structure
What does KD stand for?,Society of Automotive Engineers
What does LCD stand for?,Supplemental Coolant Additive
What does OEM stand for?,Selective Catalytic Reduction
What does OSHA stand for?,Safety Data Sheet
What does PPE stand for?,Weld Procedure Specification
What does PQR stand for?,American National Standards Institute
What does ROPS stand for?,Closed-Circuit Television
What does SAE stand for?,Diesel Exhaust Fluid
What does SCA stand for?,Diesel Particulate Filter
What does SCR stand for?,Digital Video Recorder
What does SDS stand for?,Exhaust After Treatment
What does WPS stand for?,Engine Control Module
What is the purpose of the safety section in the manual?,Global Positioning System
What are hazard alerts used for in this manual?,High Exhaust System Temperatures
What does the DANGER signal word indicate?,International Organization for Standardization
What does the WARNING signal word indicate?,Kickdown
What does the CAUTION signal word indicate?,Liquid Crystal Display
What does the NOTICE signal word indicate?,Original Equipment Manufacturer
Who is permitted to operate and/or work on this machine?,Occupational Safety and Health Administration
What must the operator wear at all times?,Personal Protective Equipment
"What is the purpose of operator aids such as warning lights, horns, or buzzers?",Procedure Qualification Report
How often should the operator aids be inspected?,Rollover Protective Structure
What should be done if an operator aid is not working properly?,Society of Automotive Engineers
What is the basis of all accident prevention guidelines and operating instructions?,Supplemental Coolant Additive
What must the operator do before operating the machine?,Selective Catalytic Reduction
Where must this manual be kept while the machine is in use?,Safety Data Sheet
Who should be familiar with the safe operating practices stated in this manual?,Weld Procedure Specification
What should be reviewed before operating the machine or performing maintenance?,To provide detailed information on basic safety precautions and preventive measures that should be followed during the operation and maintenance of the machine.
What should be inspected before the start of each workday shift?,"To alert operators, job supervisors, maintenance staff, and jobsite workers to hazardous operating practices and maintenance procedures."
What should be done if routine maintenance has not been performed as stated in the manual?,"A hazardous situation which, if not avoided, will result in death or serious injury."
Who should be on the machine while it is in operation?,"A hazardous situation which, if not avoided, could result in death or serious injury."
What should be done with the bucket or work equipment when not in use?,"A hazardous situation which, if not avoided, could result in injury."
What should be done before excavating?,Practices not related to personal injury.
What hazards exist when mounting or dismounting the machine?,Only qualified personnel who have been specifically trained on this machine.
What should be done before entering or exiting the machine?,The seat belt.
How should you exit or enter the cab?,To alert the operator to potential problems.
What kind of shoes should be worn when operating the machine?,Daily.
What should be done to keep walking and working surfaces of the machine clean?,Stop all work immediately and report the fault to a SANY dealer.
What is the primary use of the SW405K machine?,The intended usage of the machine.
What is not allowed when using the machine?,Read and understand this manual and any accompanying manuals.
What should be inspected periodically?,In the cab.
What should be done with the escape tool if it appears damaged or unable to break the cab window?,All personnel in the working area around the machine.
What should be done daily to ensure fire safety?,"Local, state, and federal regulations and standards regarding this machine and its operation."
What should be done when refueling or servicing the machine?,The maintenance log.
What can cause electrical fires?,Do not operate the machine.
What should be done to prevent electrical fires?,Only the operator.
Where should the fire extinguisher be kept?,Lowered to the ground.
How often should the fire extinguisher be inspected?,Make sure all underground utilities have been marked.
What should be done if the fire extinguisher is damaged?, This manual uses hazard alerts to highlight hazardous operating practices and maintenance procedures.
What is the minimum rating required for the fire extinguisher?,"The manual uses ANSI/ISO signal words like DANGER, WARNING, CAUTION, and NOTICE to indicate the potential severity of the hazard."
What should be done in case of a fire on the machine?," ""DANGER"" indicates a hazardous situation that could result in death or serious injury if not avoided."
What is a crushing hazard to watch out for?,"""CAUTION"" indicates a hazardous situation that could result in injury if not avoided."
What warning does the California Proposition 65 provide?, Only qualified personnel who have been specifically trained on this machine are allowed to operate and/or work on it.
What should be done when replacing decals?, The operator must wear the seat belt at all times.
What should you do before entering or exiting the machine?,The operator should lower the bucket or work equipment to the ground when not in use.
How should you exit or enter the cab?,The operator should ensure that all underground utilities have been marked before excavating.
What is the recommended three-point contact when mounting or dismounting?,The manual must be readily available to the operator at all times and must remain in the cab while the machine is in use.
What type of shoes should you wear when operating the machine?,"Jumping on or off the machine, exiting or entering the cab by any other means than the provided grab handles and steps, not facing the machine, not maintaining three-point contact with the grab handles, steps, and deck, and not wearing safety shoes with slip-resistant soles."
What should you do if the slip-resistant material on the machine is missing or worn?,"Make sure the machine is at a complete stop, work equipment is lowered to the ground, and the engine is shut down."
"What should you keep grab handles, steps, and walkway areas free of?",Only by using the provided grab handles and steps.
"What should you do if grab handles, steps, or walkway areas are damaged?",Safety shoes with slip-resistant soles.
What is the SW405K Wheel Loader primarily used for?,"Keep them clean, dry, and slip-resistant."
 What could happen if the machine is used outside of its specified range?,"Digging or loading, and it can also be used to remove ice and snow from road surfaces and work on slopes and ditching."
 What is considered unauthorized use of the machine?,"Transporting people on the machine or in the cab, overloading the machine beyond its capacity, and unauthorized machine modifications."
What should you not do to the machine?,The escape tool.
What should you do with the escape tool periodically?,Replace it.
What should you do if the escape tool appears damaged?,"Check the machine for debris buildup, keep open flames, airborne sparks, and burning embers away from the machine, and shut down the engine when refueling or servicing the machine."
Where should you keep an escape tool?,"Add oil, fuel, or engine coolant in a well-ventilated area and clean up any spilled fluids immediately."
"Why might fuel, oil, and some engine coolants be a hazard?","Short circuits, damaged wiring, or overcharging batteries."
"Where should you add oil, fuel, or engine coolant?","Check the wiring on the machine for damage when doing a prestart check, repair or replace any damaged wiring, and make sure the battery is operating in its recommended range."
What should you do if there is a spill of any fluids?,"In the cab, located to the right of the operator seat."
What can cause electrical fires?,Daily.
What should you check for when doing a prestart check?,Replace it immediately.
What should you always do before installing aftermarket electrical equipment?,A 2.5 lb. Class ABC rated fire extinguisher (National Fire Protection Association [NFPA] 10 Standard for Portable Fire Extinguishers).
Where is the fire extinguisher located?,"Immediately press the emergency stop to shut down the machine, get clear of the machine and call for help, exit the area and remain clear of the machine until the fire response team gives permission to come near the machine, and use a fire extinguisher if possible, aiming the nozzle at the base of the fire."
What type of fire extinguisher should be on the machine?,"Keeping arms, hands, and body inside the windows and door during operation or travel, and keeping all guards in place on the machine."
 What are the steps to take if a fire occurs on the machine?,"Diesel engine exhaust and some of its constituents are known to the State of California to cause cancer, birth defects, and other reproductive harm."
What is important to keep inside the windows and door of the machine while operating or traveling?,Make sure they are placed in the proper locations and contact a SANY dealer if you have any questions about their meaning and placement.
What should you do with the side window of the machine if it becomes damaged?,"Make sure the machine is at a complete stop, work equipment is lowered to the ground, and the engine is shut down."
Why are warning decals on the machine important?,Use the provided grab handles and steps.
Where can you get replacement decals if needed?,"Use both feet and one hand, or one foot and both hands."
What should you do when unsure about the safety of a procedure?,Safety shoes with slip-resistant soles.
What personal protective equipment (PPE) should you wear when performing maintenance or repairs?,Do not walk on that surface.
What should you do before carrying out any repair?,"Mud, oil, grease, or similar debris."
"Why is it important to park the machine on a hard, level surface?",Have them repaired or replaced immediately.
What should you do before servicing the machine?,Digging or loading.
What should you do when checking the machine with the engine running?,SANY assumes no responsibility for any consequences caused by such use.
What should you do when removing hoses or lines?,"Transporting people on the machine or in the cab, overloading the machine."
How should you install high-pressure hoses?,Perform any unauthorized machine modifications.
What should you do when assembling or installing parts?,Inspect it.
What should you use to clean the machine?,Replace it.
What should you never use to clean the machine?,In the cab.
What should you do after cleaning the machine?,They are flammable.
What should you check for in high-pressure fluid lines?,In a well-ventilated area.
"What should you do if you find leaks, swelling, or cracking in high-pressure fluid lines?",Clean it up immediately.
What should you not do to the accumulator?,"Short circuits, damaged wiring, or overcharging batteries."
How should you clean the electrical system?,Damage to the wiring.
What should you never use to clean the electrical system?,Obtain approval from a SANY dealer.
What precautions should you take when working with batteries?,To the right of the operator seat.
What should you do before carrying out any repair?,At least a 2.5 lb. Class ABC rated fire extinguisher.
What personal protective equipment (PPE) should you wear when performing maintenance or repairs?,"1. Press the emergency stop. 2. Get clear of the machine and call for help. 3. Exit the area and remain clear until the fire response team gives permission. 4. If using a fire extinguisher, aim at the base of the fire."
What should you do when working with two or more workers?,"Your arms, hands, and body."
 What should you do to the machine before performing any maintenance or repairs?,Replace it immediately.
What is the first step to take before servicing the machine?,They provide important instructions and warnings.
What should you do with fellow workers before starting any step of the operation?,From a SANY dealer.
What should you do with tools before starting any procedure?,Contact a SANY dealer.
"Before disconnecting or removing components of the hydraulic system, what should you do?","Safety shoes, a hard hat, gloves, and goggles."
What may be hot even after the engine is stopped?,Read all the safety messages on the machine associated with the procedure.
What should you do when checking the machine with the engine running?,To prevent the machine from moving before performing any maintenance or repairs.
What should you do with the battery disconnect switch unless electrical power is required for the procedure?,Always perform the lockout/tagout procedure.
What should you do when removing hoses or lines?,Take extreme care to avoid rotating or moving parts.
"  What should you do if any fuel, oil, or fluids leak?","Close all openings using caps and plugs, and clean up immediately if any fuel, oil, or fluids leak."
What should you do when installing high-pressure hoses?,"Make sure they are not twisted, and correctly installed and tightened."
 What should you do when installing high-pressure hoses?,Always tighten them to the specified torque.
"When assembling or installing parts, what should you do?","Hot water and mild, nonflammable, grease-cutting soaps or cleaning agents."
"When installing protective parts, what should you do?","Flammable or caustic cleaning agents, and high-pressure steam cleaners."
What should you use to clean the machine?,Lubricate the machine thoroughly to remove any water or soap residue.
 What should you never use to clean the machine?,"Cracks in the lines or hoses, and swelling in the hoses."
 What should you never use to clean the machine?,Replace lines and hoses immediately.
What should you do to the machine after cleaning it?,"Disassemble it, expose it to temperatures over 140°F (60°C) or to open flames, or weld on it."
What parts of the machine should you keep clean?,Use industry-approved electrical cleaners.
"When checking or adding fluids to the machine, what should you be aware of?","Caustic soaps, high-pressure water, or steam cleaners."
What should you do when adding fuel?,"Work in a well-ventilated area, wear personal protective equipment (PPE), and avoid smoking, sparks, or open flames."
What is a hazard if fuel spills are not cleaned up immediately?,Read all the safety messages on the machine associated with the procedure.
Where should you refuel the machine?,"Safety shoes, a hard hat, gloves, and goggles."
What should you never do or allow near the machine while refueling?,Always agree on the operating procedure before starting.
What should you avoid doing when refueling the machine?,"Park the machine on a hard, level surface, lower the work equipment, shut down the engine, and block the wheels to prevent the machine from moving."
What should you never do to items while any system is under pressure?,Always perform the lockout/tagout procedure.
What should you never use to check or feel for leaks?,Always inform them.
What should you always wear when checking for leaks?,Thoroughly check them.
What should you do if high-pressure fluids penetrate your skin?,Relieve the system pressure to prevent fluids from spraying out.
What should you check high-pressure fluid lines for?,The coolant and oil in the machine.
What should you do if there is leakage from a line or hose?,Take extreme care to avoid rotating or moving parts.
What is your machine equipped with?,Turn it off.
 What should you not do to the accumulator?,Close all openings using caps and plugs.
What temperatures should you never expose the accumulator to?,Clean it up immediately.
What should you not do to the accumulator?,Make sure they are not twisted.
What should you not do to the accumulator?, Make sure fittings are correctly installed and tightened.
"If the accumulator needs maintenance, who should you contact?",Always tighten them to the specified torque.
What should you use to clean the electrical system?,Make sure they are installed correctly.
What should you avoid using to clean the electrical system?,"Hot water and mild, nonflammable, grease-cutting soaps or cleaning agents."
 Where should you work when working with batteries?,Flammable or caustic cleaning agents.
What are some basic precautions for working around batteries?,High-pressure steam cleaners.
"Q:What could happen if you smoke, spark, or have open flames near a battery?",Lubricate it thoroughly.
What should you do when opening a battery compartment?,"The cab, windows, mirrors, and lights."
What should you do if the battery is corroded?,Fluid systems may be under pressure and hot.
 What should you do if battery acid gets on the skin or in the eyes?,Shut down the machine before removing the fuel tank cap.
What should you use to check the battery’s condition only with?,A:
"When disconnecting the battery, what order should you disconnect the cables in?",In a well-ventilated area.
What may not completely interrupt the electrical system?,Smoke or allow open flames.
Who is responsible for replacing damaged or missing safety decals on the machine?,Topping off the fuel tank.
What should you do before exiting the machine?,Perform repairs.
Why should you make sure all personnel are at a safe distance from the machine?,Your hands.
What should you do when working with another person on a jobsite?,Safety glasses and leather gloves
What should the operator respond to while operating the machine?,Seek medical attention immediately.
What should you do if visibility becomes blocked while operating the machine?,Cracks in the lines or hoses and swelling in the hoses.
What is required by OSHA when operating the machine with operator aids?,"Replace lines and hoses immediately if leaks, swelling, or cracking is found."
What should you check before using Personal Protective Equipment (PPE)?,An accumulator charged with high-pressure nitrogen gas.
Why is hearing protection important?,Disassemble it.
What should you confirm before operating the machine?,Over 140°F (60°C) or to open flames.
How should you travel with the machine?,Weld on it.
What should you avoid when traveling with the machine?,Strike it.
What should you do before crossing bridges or roadways with the machine?,A SANY dealer.
What should you do when traveling or operating in shallow water?,Industry approved electrical cleaners.
What precautions should you take when traveling on an incline?,"Caustic soaps, high-pressure water, or steam cleaners."
What should you avoid when operating on snow or frozen surfaces?,"Always wear personal protective equipment (PPE). Never allow smoking, sparks, or open flames around the battery."
"Why should you keep windows, mirrors, cameras, and lights clean and in good condition?", There is a risk of an explosion because battery gases are extremely explosive.
What should you do before moving the machine?,Always allow ample time for battery gases to escape.
What should you use when the view is obstructed when backing up?,Clean it with a mixture of warm water and baking soda.
Why is it important to use approved personal protective equipment (PPE) and follow environmental safety regulations?,Flush the area immediately with fresh water and seek medical attention.
"What should you consult for guidelines on PPE, handling, and cleanup of hazardous materials?",Proper test equipment.
"Why is it important to recycle used oil, coolant, and filters?","Negative (-) cable first, then the positive (+) cable."
What should you avoid when disposing of harmful items?,Disconnecting the jumper cable between the batteries.
What should you avoid when operating near overhead power lines?,The owner/operator.
How should you treat overhead power lines?,Shut down the engine.
What should you do before excavating?,"Because it's a safety precaution before starting any work operations, travel, or maintenance procedures."
What should the owner/operator do if safety decals on the machine are damaged or missing?,Make sure all personnel involved understand all industry-standard hand signals.
"When leaving the machine unattended, what should be done?","Operating signals from the proper signal person, and stop signals at any time from anyone."
How should the machine be parked?,Stop operation immediately.
"Before starting work, travel, or maintenance, what should be ensured regarding personnel?",The operator aids must be used.
Who is responsible for conducting periodic safety training and familiarizing personnel with emergency procedures?,Make sure it is in good working condition.
What should be done when pedestrians are in the area?,To protect against loud noise that can cause impairment or loss of hearing.
"When working with another person, what is important to understand?",The relative positions of the frame and operator.
What should the operator do regarding operating signals?,"In a safe, controlled manner, and remain alert at all times."
When is a signalman required?,"Traveling over obstacles or raised areas, and rapid movements on snow or frozen surfaces."
What should be done if visibility becomes blocked?,Check to make sure the area will support the weight of the machine.
 What does OSHA require regarding operator aids?,Be aware of its depth and current.
What should be done before using PPE?,"Check the firmness of the surface, travel straight up or down, avoid turning, and sudden stops."
Why is hearing protection  important?,"Rapid movements, acceleration, or quick stopping."
What should be confirmed before operating the machine?,To avoid backover accidents.
What is important to remember when traveling with the machine?,"Make sure all bystanders are clear of the intended path, and warn others with the horn."
What to do when traveling over rough ground?,A signalman.
What should be checked before traveling across bridges and roadways?,To prevent hazardous dust or chemicals from being released or mishandled.
What should be done before traveling in public areas?,The Safety Data Sheet (SDS).
What should the work equipment height be when traveling?,To conserve natural resources and reduce pollution.
What should be considered when traveling or operating in shallow water?,"Disposing of them in a way that can contaminate soil, groundwater, streams, and rivers."
Who is at risk and what can they do to better avoid back-over accidents,"Direct contact with high-voltage power lines, as it can cause equipment damage, death, or serious injury."
What precautions should be taken when operating in dust or chemical hazards?,As if they are energized and not insulated.
What document should be consulted for guidelines on dust and chemical hazards?,Make sure all underground utilities have been marked.
What can happen if oil and coolant are poured improperly?,Replace them.
What helps conserve natural resources and is good for the environment?,Never leave the machine running.
What should be done when operating near overhead power lines?,"In a safe, level area, lower any work equipment, lock the controls, and secure it to prevent tampering."
What should be done before excavating?,All personnel should be at a safe distance from all points of the machine.
What is the component labeled as number 1 in Figure 3-1?,The operator's employer.
Where is the diesel exhaust fluid (DEF) tank located on the machine?,Sound the horn and proceed slowly.
What is the component labeled as number 3 in Figure 3-1?,All personnel involved should understand all industry-standard hand signals.
What is the component labeled as number 4 in Figure 3-1?,"Respond to the signal person, but obey a stop signal from anyone."
What is the component labeled as number 5 in Figure 3-1?,When the operator cannot see the work location.
Where is the fuel tank filler cap located on the machine?,Stop operation immediately.
What is the component labeled as number 7 in Figure 3-1?, They must be used when operating the machine.
Where is the backup camera located on the machine?,Make sure it is in good working condition.
What is the component labeled as number 10 in Figure 3-1?,Prolonged exposure to loud noises can cause impairment or hearing loss.
What is the component labeled as number 12 in Figure 3-1?,The relative positions of the frame and operator.
What is the component labeled as number 13 in Figure 3-1?,"Travel in a safe, controlled manner and remain alert."
What is the component labeled as number 15 in Figure 3-1?,Travel at low speed and steer carefully; avoid obstacles and raised areas.
Where is the fuel tank filler cap located?,Whether they can support the machine's weight.
 What is located on the right side of the machine?,Gain approval from local authorities and follow their instructions.
What is the function of the bell crank?,8 inches to 12 inches above the ground.
Where is the battery compartment located?,Its depth and current.
Where is the backup camera located?," People. Remain clear of the intended path, be warned with the horn,"
What is part number 5 on the diagram?,Wear PPE and follow environmental safety regulations.
What should you inspect on the cab door?,Safety Data Sheet (SDS).
How do you secure the cab door in the open position?,Soil and water can be contaminated.
How do you close the cab door?,"Recycling used oil, coolant, and filters."
How do you open the cab door from inside the cab?,Obey all regulations.
What should you do to prevent the electrical compartment access door from closing unexpectedly?,"High-voltage electricity can discharge to the ground through the machine, even without direct contact."
How do you open the electrical compartment access door?,Stay clear. Treat all overhead power lines as if they are energized and not insulated.
What should you inspect on the electrical compartment door?, Ensure all underground utilities have been marked.
How do you open the upper engine compartment door?,Bell crank
What must you do before opening the lower engine compartment door?,Right side of the machine
How do you open the lower engine compartment door?,Boom cylinders
How do you open the DEF tank access door?,Bucket cylinder
How do you open the radiator and oil cooler access door?,"Headlights, turn signals, and horn"
What supports the radiator and oil cooler access door?,Right side of the machine
"How do you access the radiator, oil cooler, and intake air cooler?",Cab
How do you secure the battery compartment cover?,Back of the machine
What is the purpose of the battery disconnect switch?,Backup camera
When should you turn the battery disconnect switch off?,Counterweight
What should you not do with the battery disconnect switch?,Battery compartment
How do you disconnect battery power from the machine?,Fuel tank filler cap
What should you inspect on the cab door?,On the right side of the machine.
How do you secure the cab door in the open position?,The diesel exhaust fluid (DEF) tank and the fuel tank filler cap.
How do you close the cab door?, The text doesn't specify the function of the bell crank.
How do you open the cab door from inside?,On the machine .
How do you prevent the electrical compartment door from closing unexpectedly?,On the back of the machine.
What should you inspect on the electrical compartment door?," Headlights, turn signals, and horn."
How is the upper engine compartment door supported?,The cab door seal for signs of wear or damage.
What should you do before opening the lower engine compartment door?,"Press the door handle button, swing the door open, and firmly seat the door catch into the door latch."
 What two compartments can you access through the radiator and oil cooler access door?,"Push the latch down to release the door, and swing the door until it engages the door latch."
How do you secure the battery compartment cover?,Pull the door latch handle back.
What happens when you turn the battery disconnect switch to the OFF position?,Place the support rod into the bracket.
What caution should be taken when using the battery disconnect switch?,"Unlock and press the door handle button, then swing the door open."
What is the function of the accelerator pedal?,The electrical compartment door seal for signs of wear or damage.
How do you increase engine speed using the accelerator pedal?,Unlock and pull the latch.
How do you decrease engine speed using the accelerator pedal?,Open the upper engine compartment door.
Where is the front differential lock switch located?,Unlock and pull the latch.
When is the front differential lock used?,Unlock and lift the handle.
How do you engage the front differential lock?,Unlock and pull the latch.
How do you disengage the front differential lock?,Two pneumatic cylinders.
What are the left and right brake pedals used for?,Release the latch and swing the air conditioning condenser open.
Can either pedal be used to slow or stop the machine?,Install a lock through the brackets.
What happens in the case of engine failure?,To disconnect electrical power from the electrical systems.
What is displayed on the monitor on the front console?,"When securing the machine for the day, or as needed when performing service."
What is the function of the steering wheel?,Turn it off while the engine is running.
What is the steering knob used for?,"Turn the key switch to OFF, open the battery compartment door, turn the battery disconnect switch to the OFF position, and close the battery compartment door."
What is the emergency steering feature used for?,You should inspect the cab door seal for signs of wear or damage.
Where is the steering column tilt lock located?," Press the door handle button, swing the door open, and firmly seat the door catch into the door latch."
How do you position the steering wheel for operator comfort?,"Push the latch down to release the door, then swing it until it engages the door latch."
How do you secure the steering column in the desired position?,Pull the door latch handle.
Where is the transmission control lever located?,Place the support rod into the bracket.
What is the transmission control lever used for?,Inspect the electrical compartment door seal for signs of wear or damage.
How do you lock the transmission control lever in the neutral position?, It is supported by pneumatic cylinders.
What happens when the transmission control lever is in the F (forward) position and the engine is running?,Open the upper engine compartment door.
What happens when the transmission control lever is in the R (reverse) position and the engine is running?,The radiator and oil cooler.
What happens when the transmission control lever is in the N (neutral) position and the engine is running?, Install a lock through the brackets.
Can the engine be started when the transmission control lever is not in the neutral position?,Electrical power is disconnected from the electrical systems.
How do you shift gears?,Do not turn the switch off while the engine is running.
What is the forced downshifting function used for?,To adjust engine speed.
How do you operate the forced downshifting function?,Press the accelerator pedal.
What is the function of the accelerator pedal?,Release the accelerator pedal.
How do you engage the front differential lock?,On the far left on the floor of the cab.
What happens when you press either the left or right brake pedal?,"When added traction is needed for off-road operations, such as operating on gravel, mud, or snow."
What information does the monitor on the front console display?,Press and hold the switch to engage the front differential lock.
What is the purpose of the steering knob on the steering wheel?,Release the switch to disengage the front differential lock.
What is the function of the steering column tilt lock?,To apply the service brakes to slow or stop the machine.
In what direction does the machine move when the transmission control lever is moved up?,Yes.
What happens when you move the transmission control lever down?,The accumulator can provide a limited supply of pressurized hydraulic oil for emergency braking.
What needs to be true for the engine to start?,Various machine operational parameters and operating system menu screens.
How do you shift gears?,To control the machine's direction of travel.
What is the function of the kickdown (KD) button?,To provide one-hand operation when needed.
"Besides the transmission control lever, where else can you find the KD button?",To safely control and stop the machine after the engine has stopped.
What is the function of the transmission control lever on the left side of the steering column?,On the right side of the steering column behind the steering wheel.
What is the purpose of the joystick forward/reverse enable switch?,Press the steering column tilt lock down.
How do you sound the horn?,Release the steering column tilt lock.
What is the function of the kickdown (KD) button?,On the left side of the steering column behind the steering wheel.
What are the components of the right console?,"To select forward, reverse, or neutral travel."
What is the function of the park brake switch?,Using the neutral lock.
What is the function of the engine diagnostic switch?,The machine will move forward.
What is the function of the emergency stop switch?,The machine will move backward.
What is the function of the cigarette lighter socket?,The machine remains stationary.
What is the function of the quick coupler switch?,"No, the engine can only be started when both the transmission control lever and the joystick F-N-R rocker switch are in the neutral position."
What is the function of the battery discharge indicator lamp?,"By rotating the transmission control lever until the arrow on the lever points to the desired gear (1, 2, 3, or 4)."
How do you operate the right turn signal switch?,To downshift the transmission to first forward or first reverse.
What is the function of the hydraulic system lockout switch?,By pressing the kickdown (KD) button on the end of the transmission control lever or on the joystick.
What is the function of the beacon light switch?,The accelerator pedal is used to adjust engine speed.
How do you enable or disable the joystick F-N-R rocker switch?,Press and hold the front differential lock switch.
What are the positions of the key switch?,Pressing the left or right service brake pedals applies the service brakes to slow or stop the machine.
What is the function of the transmission shift selector dial?,The monitor displays various machine operational parameters and the operating system menu screens.
What is the function of the fan speed control rotary switch?,The steering knob provides one-hand operation when needed.
How do you operate the heater on/off control switch?,The steering column tilt lock allows you to adjust the steering wheel for operator comfort.
How do you adjust the armrest angle?,The machine moves forward.
How do you adjust the backrest angle?,The machine moves in reverse.
What should you do to the seat belt during machine operation?,Both the transmission control lever and the joystick F-N-R rocker switch need to be in the neutral position.
How often should the seat belt assemblies be inspected?,Rotate the transmission control lever until the arrow points to the desired gear.
What does the cigarette lighter socket provide?,The KD button downshifts the transmission to first forward (F1) or first reverse (R1).
 What color indicates when there is a fault in the charging system on the SW405K Wheel Loader?,The KD button is also located on the joystick.
How do you activate the front and rear work lights on the SW405K Wheel Loader?,"Machine direction can always be controlled by the transmission control lever, which overrides the joystick F-N-R switch."
What does the warning indicator light look like?,The switch enables or disables the joystick F-N-R rocker switch.
How do you activate the buzzer sound on the SW405K Wheel Loader?,Press the horn button on top of the joystick.
What is the function of the quick coupler switch?,The KD button selects the forced downshifting function.
What controls the airflow from outside air into the cab or recirculates the existing air inside the cab?,"The right console includes the upper switch panel, lower front switch panel, lower rear switch panel, transmission shift selector dial, key switch, and climate control panel."
How many speeds does the fan have?,The park brake switch enables or disables the park brake.
How do you adjust the angle of the seat bottom?,"When pressed, the engine diagnostic switch momentarily displays current engine faults (if any are present)."
What holds the seat belt in place when not in use and retracts it when needed?,The emergency stop switch is used to stop the engine in an emergency or if the engine cannot be stopped normally.
Where can you adjust the armrest angle on the seat?,The cigarette lighter socket provides 24V current.
